без + 'ведома';flags='mw:PR';без ведома
без + 'оглядки' + на;flags='mw:ADV';без оглядки на
без + 'помощи';flags='mw:PR';без помощи
без + согласие;flags='mw:PR mw:ADV';без согласия
без + согласие + на + то;flags='mw:PR';без согласия на то
без + согласование + с/со;flags='mw:PR';без согласования с
без + 'сопровождения';flags='mw:PR mw:ADV';без сопровождения
'боком' + к/ко;flags='mw:PR mw:dir mw:shift';боком к
к + dat + 'боком';flags='mw:ADV mw:dir mw:shift'; (к кому-л. боком)
в + 'авангард' + gen;flags='mw:PR';в авангард
в + 'авангарде' + gen;flags='mw:PR';в авангарде
в + 'адрес' + gen;flags='mw:PR';в адрес
в + 'бытность';flags='mw:PR';в бытность
в + 'видах' + gen&r:abstr;flags='mw:PR';в видах
в + 'виде' + gen;flags='mw:PR';в виде
в + 'возрасте' + gen;flags='mw:PR mw:ADV';в возрасте
в + 'глазах' + gen;flags='mw:PR';в глазах
иметь/выглядеть/оказываться + в + 'глазах';flags='mw:PR'; (выглядеть, оказываться и т.д. в глазах кого-л.)
в + 'границах';flags='mw:PR';в границах
в + 'даль' + gen;flags='mw:PR';в даль
в + 'довершение' + gen;flags='mw:PR';в довершение
в + 'доказательство';flags='mw:PR';в доказательство
в + 'должности' + gen;flags='mw:PR';в должности
в + 'дополнение' + к/ко;flags='mw:PR';в дополнение к
в + 'духе' + gen;flags='mw:PR';в духе
в + 'завершение';flags='mw:PR';в завершение
в + 'зависимости' + от/ото;flags='mw:PR';в зависимости от
в + 'заключение' + gen;flags='mw:PR';в заключение
в + 'замену' + gen;flags='mw:PR';в замену
в + 'зачет' + gen;flags='mw:PR';в зачет
в + 'защиту' + gen;flags='mw:PR';в защиту
в + 'знак';flags='mw:PR';в знак
в + 'интересах';flags='mw:PR';в интересах
в + 'ипостаси';flags='mw:PR';в ипостаси
в + 'исходе';flags='mw:PR';в исходе
в + 'качестве' + gen;flags='mw:PR';в качестве
в + 'количестве';flags='mw:PR';в количестве
в + 'компании' + gen;flags='mw:PR';в компании
в + 'компании' + с/со;flags='mw:PR';в компании с
в + 'контраст';flags='mw:PR';в контраст
в + 'конце' + gen;flags='mw:PR';в конце
в + 'кровь' + t:impact;flags='mw:PR';в кровь
t:impact + в + 'кровь';flags='mw:PR'; (разбить в кровь)
в + 'лице' + gen;flags='mw:PR mw:shift';в лице
в + 'мире' + gen;flags='mw:PR';в мире
в + 'направлении';flags='mw:PR';в направлении
в + 'нарушение';flags='mw:PR';в нарушение
в + 'начале' + gen;flags='mw:PR';в начале
в + 'ногу' + с/со;flags='mw:PR mw:shift';в ногу с
в + 'области' + gen;flags='mw:PR';в области
в + 'область' + gen;flags='mw:PR';в область
в + 'обстановке' + gen;flags='mw:PR';в обстановке
в + 'ознаменование';flags='mw:PR';в ознаменование
в + 'окружении' + gen;flags='mw:PR';в окружении
в + 'отличие' + от/ото;flags='mw:PR';в отличие от
в + 'отмену' + gen;flags='mw:PR';в отмену
в + 'отношении' + gen;flags='mw:PR';в отношении
в + отрыв + от/ото;flags='mw:PR';в отрыве от
в + отсутствие + gen;flags='mw:PR';в отсутствие
в + 'память' + gen;flags='mw:PR';в память (кого-л.)
в + 'память' + о/об/обо;flags='mw:PR';в память о
в + 'плане' + gen;flags='mw:PR';в плане
в + 'пользу';flags='mw:PR';в пользу
в + 'порядке' + gen;flags='mw:PR';в порядке
в + 'предвидении';flags='mw:PR';в предвидении
в + 'предвиденье';flags='mw:PR';в предвиденье
в + 'предвкушении';flags='mw:PR';в предвкушении
в + 'преддверии';flags='mw:PR';в преддверии
в + 'преддверье';flags='mw:PR';в преддверье
в + 'пределах';flags='mw:PR';в пределах
в + применение + к/ко;flags='mw:PR';в применении к
в + 'продолжение';flags='mw:PR';в продолжение
в + 'противность';flags='mw:PR';в противность
в + 'противовес';flags='mw:PR';в противовес
в + 'противоположность';flags='mw:PR';в противоположность
в + 'процессе' + gen;flags='mw:PR';в процессе
в + 'разгар' + gen;flags='mw:PR';в разгар
в + 'размере' + gen;flags='mw:PR';в размере
в + 'районе' + gen;flags='mw:PR';в районе
в + 'рамках' + gen;flags='mw:PR';в рамках
в + 'рамки' + gen;flags='mw:PR';в рамки
в + 'распоряжение' + gen;flags='mw:PR';в распоряжение
в + 'распоряжении' + gen;flags='mw:PR';в распоряжении
в + 'рассуждении' + gen;flags='mw:PR';в рассуждении
в + 'расчете' + на;flags='mw:PR';в расчете на
в + 'роли' + gen;flags='mw:PR';в роли
в + 'русле' + gen;flags='mw:PR';в русле
в + 'ряде' + gen;flags='mw:PR';в ряде
в + 'ряду' + gen;flags='mw:PR';в ряду
в + 'свете' + gen;flags='mw:PR';в свете
в + 'связи' + с/со;flags='mw:PR';в связи с
в + 'середине' + gen;flags='mw:PR';в середине
в + 'силу' + gen;flags='mw:PR';в силу
в + 'случае' + gen;flags='mw:PR';в случае
в + 'смысле' + gen;flags='mw:PR';в смысле
в + 'согласии' + с/со;flags='mw:PR';в согласии с
в + 'сообществе' + gen;flags='mw:PR';в сообществе
в + 'соответствии' + с/со;flags='mw:PR';в соответствии с
в + 'сопровождении';flags='mw:PR';в сопровождении
в + 'сопровожденье';flags='mw:PR';в сопровожденье
в + 'составе' + gen;flags='mw:PR';в составе
в + 'сравнении' + с/со;flags='mw:PR';в сравнении с
в + 'стенах' + [0..2](t:org/t:constr)&gen;flags='mw:PR';в стенах
в + 'стороне' + от/ото;flags='mw:PR';в стороне от
в + 'сторону' + от/ото;flags='mw:PR';в сторону от
в + 'сумме' + gen;flags='mw:PR';в сумме
в + 'супряге' + с;flags='mw:PR';в супряге с
в + 'сфере' + gen;flags='mw:PR';в сфере
в + 'счет' + gen;flags='mw:PR';в счет
в + 'течение';flags='mw:PR';в течение
в + 'тон' + dat;flags='mw:PR';в тон
в + 'торец' + gen;flags='mw:PR';в торце
в + 'угодность';flags='mw:PR';в угодность
в + 'угоду' + dat;flags='mw:PR';в угоду
